ID	County	City	Type
825905	71	81344	ML
825910	71	59451	HV
825911	71	59451	ML
825916	71	59451	HV
825917	71	59451	ML
825923	71	59451	ML
825929	71	59451	ML
825939	71	81344	HV
825944	71	81344	HV
825947	71	59451	HV
825948	71	59451	HV
825952	71	59451	HV
825953	71	59451	HV
825987	71	ML
825990	71	ML
826010	71	24680	ML
826013	71	24680	ML
826017	65	ML
826025	65	ML
826032	65	ML
826038	65	ML
826043	65	ML
826055	65	51560	ML
826060	71	13756	HV
826061	71	13756	ML
826067	71	13756	HV
826068	71	13756	ML
826074	65	16350	ML
826081	71	24680	HV
826082	71	24680	HV
826083	71	24680	ML
826088	71	81344	HV
826089	71	81344	ML
826100	71	ML
826105	71	ML
826110	71	60466	ML
826116	71	53896	HV
826123	71	13210	HV
826124	71	13210	ML
826139	65	ML
826149	71	53896	HV
826150	71	53896	ML
826159	65	16350	ML
826165	71	13210	HV
826166	71	13210	ML
826170	71	30000	ML
826176	71	13214	HV
826177	71	13214	ML
826215	71	24680	HV
826226	65	16350	HV
826227	65	16350	ML
826232	65	16350	HV
826233	65	16350	ML
826238	65	62000	HV
826247	65	62000	HV
826248	65	62000	HV
826249	65	62000	ML
826339	65	16350	ML
826356	71	42370	ML
826362	65	62000	HV
826363	65	62000	HV
826368	65	62000	HV
826369	65	62000	HV
826374	65	62000	HV
826375	65	62000	HV
826380	65	62000	HV
826381	65	62000	HV
826399	65	62000	ML
826400	65	62000	HV
826404	65	62000	HV
826405	65	62000	ML
826412	65	62000	HV
826413	65	62000	HV
826416	65	62000	HV
826417	65	62000	HV
826422	65	62000	HV
826423	65	62000	HV
826468	65	62000	HV
826469	65	62000	HV
826496	71	59451	ML
826520	71	65000	ML
826521	71	65000	HV
826522	71	65000	ML
826582	65	16350	ML
826629	65	ML
826631	65	ML
826651	65	ML
826662	65	16350	HV
826663	65	16350	ML
826664	65	16350	HV
826679	65	16350	HV
826680	65	16350	HV
826691	65	16350	HV
826692	65	16350	HV
826699	65	16350	HV
826700	65	16350	HV
826710	65	HV
826711	65	HV
826720	65	HV
826721	65	HV
826727	65	HV
826728	65	HV
826734	65	HV
826735	65	HV
826741	65	HV
826742	65	HV
826748	65	HV
826749	65	HV
826755	65	16350	HV
826756	65	16350	HV
826762	65	16350	HV
826763	65	16350	HV
826788	65	HV
826789	65	ML
826802	65	HV
826803	65	ML
826815	65	16350	HV
826816	65	16350	ML
826820	65	16350	HV
826821	65	16350	HV
826857	65	ML
826865	65	16350	ML
827014	71	ML
827015	71	ML
827036	71	ML
827038	71	ML
827063	71	ML
827066	71	ML
827091	71	ML
827092	71	ML
827111	71	ML
827112	71	ML
827131	71	65000	ML
827133	71	65000	ML
827150	71	ML
827152	71	ML
827194	71	ML
827195	71	ML
827210	71	ML
827211	71	ML
827222	71	ML
827223	71	ML
827241	71	59451	ML
827244	71	65000	HV
827247	71	65000	HV
827250	71	65000	HV
827251	71	65000	HV
827261	71	59451	ML
827278	65	HV
827279	65	ML
827296	65	16350	ML
827299	65	ML
827311	65	ML
827314	65	ML
827474	65	HV
827477	65	16350	HV
827478	65	16350	HV
827489	65	16350	HV
827490	65	16350	ML
827501	65	ML
827502	65	ML
827506	65	ML
827519	65	ML
827704	71	HV
827706	71	ML
827738	71	ML
